year,round,pick,player,nfl url,pos,draft age,team,entry year,last year,1st team pro select,pro select,weighted career av,years as primary starter,games,games started,rushing attempts,rushing yards,rushing td,receiving attemps,receiving yards,receiving td,college,cfb url,cfb school,cfb conference,cfb class,cfb pos,cfb games,cfb receptions,cfb yards,cfb average,cfb td,cfb attemps rushing,cfb yards rushing,cfb avg rushing,cfb td rushing,cfb scrimmages,cfb yards total,cfb avg total,cfb td total,nfl age,nfl team,nfl pos,nfl no,nfl game,nfl game started,nfl target,nfl receptions,nfl yards,nfl y/r,nfl td,nfl first downs,nfl longest rec,nfl rec per game,nfl yards per game,nfl catch ratio,nfl yards per target,nfl rushes,nfl rush yards,nfl rush td,nfl first downs rush,nfl longest rush,nfl rush yards per attempt,nfl rush yards per game,nfl rush attempt per games,nfl total touches,nfl yards per touch,nfl yards from scrimmage,nfl total td,nfl fumbles,nfl av,nfl table type,cfb method,nfl method
2010,5,159,Riley Cooper,https://www.pro-football-reference.com/players/C/CoopRi00.htm,WR,22,PHI,2010,2015,0,0,3,18,88,54,0,18,0,169,2418,18,Florida,https://www.sports-reference.com/cfb/players/riley-cooper-1.html,Florida,SEC,SR,WR,51.0,81,1496,18.5,18,1,14,14.0,0,82,1510,18.4,18,28,PHI,WR,14,88,54,320,169,2418,14.3,18,105,63,1.9,27.5,52.8%,7.6,0,18,0,0,18,,0.2,0.0,169,14.4,2436,18,1,19,Receiving & Rushing Table,success,success from main
2010,5,165,Kerry Meier,https://www.pro-football-reference.com/players/M/MeieKe00.htm,WR,23,ATL,2011,2012,0,0,0,0,12,0,,,,,,,Kansas,https://www.sports-reference.com/cfb/players/kerry-meier-1.html,Kansas,Big 12,SR,WR,46.0,226,2309,10.2,18,118,415,3.5,6,344,2724,7.9,24,26,ATL,,80,12,,0,,,,,,,,,,,,,,,,,,,,,,,,,Games Table,success,success from main
2010,6,177,Carlton Mitchell,https://www.pro-football-reference.com/players/M/MitcCa00.htm,WR,22,CLE,2010,2011,0,0,0,0,16,0,1,9,0,3,31,0,South Florida,https://www.sports-reference.com/cfb/players/carlton-mitchell-1.html,South Florida,Big East,JR,WR,37.0,105,1648,15.7,9,5,24,4.8,0,110,1672,15.2,9,23,CLE,,18,16,,5,3,31,10.3,0,2,19,0.2,1.9,60.0%,6.2,1,9,0,0,9,9.0,0.6,0.1,4,10.0,40,0,0,0,Receiving & Rushing Table,success,success from main
2010,6,191,Dezmon Briscoe,https://www.pro-football-reference.com/players/B/BrisDe00.htm,WR,21,CIN,2010,2012,0,0,0,4,25,2,1,1,0,43,502,7,Kansas,https://www.sports-reference.com/cfb/players/dezmon-briscoe-1.html,Kansas,Big 12,JR,WR,37.0,219,3240,14.8,31,4,37,9.3,1,223,3277,14.7,32,23,WAS,,19,25,2,63,43,502,11.7,7,25,54,1.7,20.1,68.3%,8.0,1,1,0,0,1,1.0,0.0,0.0,44,11.4,503,7,0,4,Receiving & Rushing Table,success,success from main
2010,6,195,Antonio Brown,https://www.pro-football-reference.com/players/B/BrowAn04.htm,WR,22,PIT,2010,2019,4,7,7,87,131,103,32,124,0,841,11263,75,Central Michigan,https://www.sports-reference.com/cfb/players/antonio-brown-1.html,Central Michigan,MAC,JR,WR,41.0,305,3199,10.5,22,72,531,7.4,4,377,3730,9.9,26,31,NWE,,17,131,103,1283,841,11263,13.4,75,551,79,6.4,86.0,65.5%,8.8,32,124,0,9,16,3.9,0.9,0.2,873,13.0,11387,75,15,102,Receiving & Rushing Table,success,success from main
2010,6,197,Trindon Holliday,https://www.pro-football-reference.com/players/H/HollTr00.htm,WR,24,HOU,2011,2014,0,0,0,4,33,0,1,7,0,2,17,0,LSU,https://www.sports-reference.com/cfb/players/trindon-holliday-1.html,LSU,SEC,SR,RB,51.0,115,776,6.7,4,7,72,10.3,0,122,848,7.0,4,,TAM,,11,33,,83,769,2,81,9.3,54,1455,2,105,26.9,2248,4,,,,,,,,,,,,,,Kick & Punt Returns Table,success,success from main
2010,6,198,David Gettis,https://www.pro-football-reference.com/players/G/GettDa00.htm,WR,23,CAR,2010,2012,0,0,1,3,17,13,3,2,0,37,508,3,Baylor,https://www.sports-reference.com/cfb/players/david-gettis-1.html,Baylor,Big 12,SR,WR,47.0,116,1555,13.4,4,,,,,116,1555,13.4,4,25,CAR,,12,17,13,67,37,508,13.7,3,24,88,2.2,29.9,55.2%,7.6,3,2,0,1,19,0.7,0.1,0.2,40,12.8,510,3,1,3,Receiving & Rushing Table,success,success from main
2010,6,199,Joe Webb,https://www.pro-football-reference.com/players/W/WebbJo00.htm,WR,23,MIN,2010,2018,0,0,0,4,102,4,50,326,4,10,74,0,Ala-Birmingham,https://www.sports-reference.com/cfb/players/joe-webb-2.html,UAB,CUSA,SR,QB,37.0,468,792,59.1,5771,7.3,6.8,37,25,129.4,,,,32,HOU,,5,102,4,1-1-0,90,159,56.6,888,3,1.9,6,3.8,44,46,5.6,4.3,9.9,8.7,63.1,,11,69,4.82,3.58,6.5,0,2,4,Passing Table,success,success from main
2010,6,206,Kyle Williams,https://www.pro-football-reference.com/players/W/WillKy01.htm,WR,22,SFO,2010,2014,0,0,0,6,39,9,8,76,0,47,574,4,Arizona St.,https://www.sports-reference.com/cfb/players/kyle-williams-1.html,Arizona State,Pac-10,SR,WR,41.0,109,1626,14.9,18,17,130,7.6,0,126,1756,13.9,18,26,DEN,,,39,9,81,47,574,12.2,4,24,57,1.2,14.7,58.0%,7.1,8,76,0,1,25,9.5,1.9,0.2,55,11.8,650,4,5,6,Receiving & Rushing Table,success,success from main
2010,7,219,Terrence Austin,https://www.pro-football-reference.com/players/A/AustTe00.htm,WR,22,WAS,2010,2011,0,0,0,1,18,0,,,,15,184,0,UCLA,https://www.sports-reference.com/cfb/players/terrence-austin-1.html,UCLA,Pac-10,SR,WR,47.0,109,1192,10.9,5,23,146,6.3,0,132,1338,10.1,5,23,WAS,,18,18,,31,15,184,12.3,0,9,32,0.8,10.2,48.4%,5.9,,,,,,,,,15,12.3,184,0,1,1,Receiving & Rushing Table,success,success from main
