cfbconference,cfbclass,cfbgames,cfbreceptions,cfbrecyards,cfbrecyardsperreception,cfbrectd,cfbrushattempts,cfbrushyards,cfbrushyardsperattempt,cfbrushtd,cfbscrimmages,cfbyards,cfbyardsfromscrimmage,cfbtd,combineht,combinewt,combineforty,combinevertical,combinebenchreps,combinebroadjump,combinecone,combineshuttle,yardsfirst5seasons
SEC,JR,32.0,166.0,2619.0,15.8,23.0,7.0,105.0,15.0,0.0,173.0,2724.0,15.7,23.0,76.0,211.0,4.48,34.5,18.0,126.0,6.91,4.21,6171.0
SEC,JR,40.0,179.0,2653.0,14.8,15.0,10.0,139.0,13.9,2.0,189.0,2792.0,14.8,17.0,75.0,220.0,4.34,38.5,17.0,135.0,6.66,4.25,6201.0
Big East,Non Declared,39.0,128.0,2337.0,18.3,16.0,5.0,68.0,13.6,0.0,133.0,2405.0,18.1,16.0,76.0,228.0,4.49,42.0,20.0,129.0,7.07,4.34,607.0
WAC,SR,43.0,204.0,3063.0,15.0,25.0,47.0,350.0,7.4,8.0,251.0,3413.0,13.6,33.0,71.0,174.0,4.43,,,123.0,,,990.0
ACC,JR,38.0,152.0,2215.0,14.6,19.0,21.0,66.0,3.1,1.0,173.0,2281.0,13.2,20.0,73.0,204.0,4.41,41.0,19.0,126.0,6.72,4.13,4254.0
ACC,JR,37.0,86.0,969.0,11.3,6.0,166.0,805.0,4.8,6.0,252.0,1774.0,7.0,12.0,74.0,231.0,4.51,40.5,27.0,129.0,6.8,4.21,1890.0
SEC,JR,36.0,144.0,1661.0,11.5,13.0,228.0,1313.0,5.8,22.0,372.0,2974.0,8.0,35.0,70.0,191.0,4.46,33.5,16.0,115.0,7.08,4.34,3878.0
WAC,SR,52.0,229.0,2838.0,12.4,39.0,1.0,-11.0,-11.0,0.0,230.0,2827.0,12.3,39.0,75.0,209.0,4.56,33.5,14.0,120.0,6.68,3.88,1152.0
ACC,SR,42.0,134.0,2160.0,16.1,22.0,0.0,0.0,0.0,0.0,134.0,2160.0,16.1,22.0,73.0,209.0,4.4,36.0,14.0,117.0,6.94,4.21,1408.0
MWC,SR,44.0,209.0,3110.0,14.9,23.0,7.0,34.0,4.9,0.0,216.0,3144.0,14.6,23.0,71.0,187.0,4.68,33.5,12.0,121.0,6.64,4.25,941.0
Sun Belt,SR,50.0,262.0,3128.0,11.9,18.0,132.0,892.0,6.8,5.0,394.0,4020.0,10.2,23.0,69.0,185.0,4.46,37.5,11.0,124.0,7.07,4.25,391.0
SEC,SR,47.0,64.0,1109.0,17.3,4.0,0.0,0.0,0.0,0.0,64.0,1109.0,17.3,4.0,,,,,,,,,699.0
Other,Non Declared,,,,,,,,,,,,,,72.0,192.0,4.31,40.0,16.0,131.0,,,365.0
WAC,SR,48.0,285.0,4345.0,15.2,26.0,0.0,0.0,0.0,0.0,285.0,4345.0,15.2,26.0,73.0,210.0,4.53,37.0,15.0,120.0,6.65,4.1,407.0
Other,Non Declared,,,,,,,,,,,,,,72.0,205.0,4.5,34.5,21.0,114.0,6.5,4.07,2827.0
Big Ten,JR,31.0,154.0,1854.0,12.0,13.0,42.0,290.0,6.9,2.0,196.0,2144.0,10.9,15.0,74.0,201.0,4.62,,14.0,,,,428.0
WAC,SR,47.0,209.0,2491.0,11.9,22.0,125.0,701.0,5.6,8.0,334.0,3192.0,9.6,30.0,70.0,199.0,4.42,,19.0,,,,42.0
SEC,SR,52.0,112.0,2004.0,17.9,18.0,10.0,105.0,10.5,1.0,122.0,2109.0,17.3,19.0,72.0,194.0,4.43,36.0,13.0,118.0,6.78,4.15,2169.0
MWC,SR,50.0,120.0,1299.0,10.8,12.0,63.0,306.0,4.9,8.0,183.0,1605.0,8.8,20.0,69.0,189.0,4.56,34.5,16.0,120.0,,,2225.0
Big 12,SR,46.0,103.0,1532.0,14.9,5.0,9.0,56.0,6.2,1.0,112.0,1588.0,14.2,6.0,73.0,224.0,4.45,34.5,24.0,117.0,6.9,4.14,762.0
Pac-10,SR,48.0,140.0,1884.0,13.5,7.0,0.0,0.0,0.0,0.0,140.0,1884.0,13.5,7.0,73.0,202.0,4.53,38.5,18.0,123.0,6.67,4.09,80.0
CUSA,SR,50.0,268.0,3001.0,11.2,20.0,86.0,526.0,6.1,6.0,354.0,3527.0,10.0,26.0,70.0,203.0,4.53,34.0,10.0,111.0,6.77,4.21,827.0
CUSA,SR,46.0,181.0,3314.0,18.3,30.0,0.0,0.0,0.0,0.0,181.0,3314.0,18.3,30.0,70.0,184.0,4.35,40.0,17.0,126.0,6.65,4.09,614.0
Pac-10,SR,47.0,138.0,1750.0,12.7,20.0,16.0,88.0,5.5,0.0,154.0,1838.0,11.9,20.0,71.0,199.0,4.46,,16.0,,,,0.0
Big 12,SR,49.0,219.0,2588.0,11.8,22.0,2.0,4.0,2.0,1.0,221.0,2592.0,11.7,23.0,,,,,,,,,0.0
Other,Non Declared,,,,,,,,,,,,,,73.0,221.0,4.5,34.5,19.0,117.0,7.04,4.31,149.0
Pac-10,SR,46.0,64.0,700.0,10.9,7.0,2.0,14.0,7.0,0.0,66.0,714.0,10.8,7.0,,,,,,,,,120.0
MWC,SR,48.0,146.0,2242.0,15.4,18.0,8.0,9.0,1.1,0.0,154.0,2251.0,14.6,18.0,74.0,204.0,4.41,,14.0,,,,36.0
ACC,JR,39.0,120.0,2339.0,19.5,15.0,4.0,32.0,8.0,0.0,124.0,2371.0,19.1,15.0,75.0,224.0,4.52,,,,,,5317.0
Big 12,JR,28.0,147.0,2425.0,16.5,29.0,2.0,16.0,8.0,0.0,149.0,2441.0,16.4,29.0,74.0,225.0,4.52,,,,,,5424.0
SEC,SR,40.0,130.0,1703.0,13.1,7.0,304.0,1955.0,6.4,15.0,434.0,3658.0,8.4,22.0,69.0,172.0,4.53,37.5,20.0,118.0,,4.06,1697.0
Big Ten,JR,37.0,159.0,2221.0,14.0,7.0,62.0,282.0,4.5,3.0,221.0,2503.0,11.3,10.0,73.0,219.0,4.57,37.0,20.0,118.0,,,990.0
Ind,JR,37.0,157.0,2707.0,17.2,26.0,31.0,227.0,7.3,3.0,188.0,2934.0,15.6,29.0,70.0,199.0,4.42,35.0,17.0,120.0,7.12,4.34,3526.0
Pac-10,Non Declared,38.0,147.0,2114.0,14.4,17.0,7.0,64.0,9.1,0.0,154.0,2178.0,14.1,17.0,73.0,197.0,4.52,38.0,19.0,118.0,6.79,4.24,1327.0
