player,nflurl,cfb url,nflteam,college,round,pick,cfbconference,cfbclass,cfbgames,cfbreceptions,cfbrecyards,cfbrecyardsperreception,cfbrectd,cfbrushattempts,cfbrushyards,cfbrushyardsperattempt,cfbrushtd,cfbscrimmages,cfbyards,cfbyardsfromscrimmage,cfbtd,combineht,combinewt,combineforty,combinevertical,combinebenchreps,combinebroadjump,combinecone,combineshuttle
Henry Ruggs,https://www.pro-football-reference.com/players/R/RuggHe00.htm,https://www.sports-reference.com/cfb/players/henry-ruggs-iii-1.html,VEG,Alabama,1,12,SEC,JR,40.0,98.0,1716.0,17.5,24.0,2.0,75.0,37.5,1.0,100.0,1791.0,17.9,25.0,71.0,188.0,4.27,42.0,,131.0,,
Jerry Jeudy,https://www.pro-football-reference.com/players/J/JeudJe00.htm,https://www.sports-reference.com/cfb/players/jerry-jeudy-1.html,DEN,Alabama,1,15,SEC,JR,36.0,159.0,2742.0,17.2,26.0,1.0,1.0,1.0,0.0,160.0,2743.0,17.1,26.0,73.0,193.0,4.45,35.0,,120.0,,4.53
CeeDee Lamb,https://www.pro-football-reference.com/players/L/LambCe00.htm,https://www.sports-reference.com/cfb/players/ceedee-lamb-1.html,DAL,Oklahoma,1,17,Big 12,JR,40.0,173.0,3292.0,19.0,32.0,9.0,20.0,2.2,1.0,182.0,3312.0,18.2,33.0,74.0,198.0,4.5,34.5,11.0,124.0,,
Jalen Reagor,https://www.pro-football-reference.com/players/R/ReagJa00.htm,https://www.sports-reference.com/cfb/players/jalen-reagor-1.html,PHI,TCU,1,21,Big 12,JR,39.0,148.0,2248.0,15.2,22.0,35.0,324.0,9.3,2.0,183.0,2572.0,14.1,24.0,71.0,206.0,4.47,42.0,17.0,138.0,7.31,4.46
Justin Jefferson,https://www.pro-football-reference.com/players/J/JeffJu00.htm,https://www.sports-reference.com/cfb/players/justin-jefferson-1.html,MIN,LSU,1,22,SEC,JR,30.0,165.0,2415.0,14.6,24.0,6.0,30.0,5.0,0.0,171.0,2445.0,14.3,24.0,73.0,202.0,4.43,37.5,,126.0,,
Brandon Aiyuk,https://www.pro-football-reference.com/players/A/AiyuBr00.htm,https://www.sports-reference.com/cfb/players/brandon-aiyuk-1.html,SFO,Arizona St.,1,25,Pac-12,SR,25.0,98.0,1666.0,17.0,11.0,1.0,6.0,6.0,0.0,99.0,1672.0,16.9,11.0,72.0,205.0,4.5,40.0,11.0,128.0,,
Tee Higgins,https://www.pro-football-reference.com/players/H/HiggTe00.htm,https://www.sports-reference.com/cfb/players/tee-higgins-1.html,CIN,Clemson,2,33,ACC,JR,37.0,135.0,2448.0,18.1,27.0,1.0,36.0,36.0,1.0,136.0,2484.0,18.3,28.0,76.0,216.0,,,,,,
Michael Pittman,https://www.pro-football-reference.com/players/P/PittMi01.htm,https://www.sports-reference.com/cfb/players/michael-pittman-jr-1.html,IND,USC,2,34,Pac-12,SR,41.0,171.0,2519.0,14.7,19.0,1.0,9.0,9.0,0.0,172.0,2528.0,14.7,19.0,76.0,223.0,4.52,36.5,13.0,121.0,6.96,4.14
Laviska Shenault,https://www.pro-football-reference.com/players/S/ShenLa00.htm,https://www.sports-reference.com/cfb/players/laviska-shenault-jr-1.html,JAX,Colorado,2,42,Pac-12,JR,27.0,149.0,1943.0,13.0,10.0,42.0,280.0,6.7,7.0,191.0,2223.0,11.6,17.0,73.0,227.0,4.58,,17.0,,,
KJ Hamler,https://www.pro-football-reference.com/players/H/HamlKJ00.htm,https://www.sports-reference.com/cfb/players/kj-hamler-1.html,DEN,Penn St.,2,46,Big Ten,JR,26.0,98.0,1658.0,16.9,13.0,17.0,87.0,5.1,1.0,115.0,1745.0,15.2,14.0,69.0,178.0,,,15.0,,,
