year,round,pick,player,nfl_url,pos,draft_age,draft_team,entry_year,last_year,first_team_all_pro_select,pro_bowl_select,years_as_primary_starter,weighted_career_av,games,games_started,rushes,rushing_yards,rushing_td,receptions,rec_yards,rec_td,college,cfb_url,cfb_school,cfb_conference,cfb_class,cfb_pos,cfb_games,cfb_receptions,cfb_rec_yards,cfb_rec_yards_per_reception,cfb_rec_td,cfb_rushes,cfb_rushing_yards,cfb_rushing_yards_per_rush,cfb_rushing_td,cfb_plays,cfb_yards,cfb_yards_per_play,cfb_td,cfb_table_name,nfl_yards_per_year,nfl_yards,nfl_table_name
2020,1,12,Henry Ruggs III,https://www.pro-football-reference.com/players/R/RuggHe00.htm,WR,21,LVR,2020,2020,0,0,0,0.0,2.0,2.0,2.0,11.0,0.0,4.0,59.0,0.0,Alabama,https://www.sports-reference.com/cfb/players/henry-ruggs-iii-1.html,Alabama,SEC,JR,WR,40.0,98.0,1716.0,17.5,24.0,2.0,75.0,37.5,1.0,100.0,1791.0,17.9,25.0,receiving & rushing table,[59.0],59.0,receiving & rushing table
2020,1,15,Jerry Jeudy ,https://www.pro-football-reference.com/players/J/JeudJe00.htm,WR,21,DEN,2020,2020,0,0,0,0.0,4.0,2.0,0.0,0.0,0.0,15.0,234.0,1.0,Alabama,https://www.sports-reference.com/cfb/players/jerry-jeudy-1.html,Alabama,SEC,JR,WR,36.0,159.0,2742.0,17.2,26.0,1.0,1.0,1.0,0.0,160.0,2743.0,17.1,26.0,receiving & rushing table,[234.0],234.0,receiving & rushing table
2020,1,17,CeeDee Lamb ,https://www.pro-football-reference.com/players/L/LambCe00.htm,WR,21,DAL,2020,2020,0,0,0,0.0,4.0,4.0,3.0,13.0,0.0,21.0,309.0,2.0,Oklahoma,https://www.sports-reference.com/cfb/players/ceedee-lamb-1.html,Oklahoma,Big 12,JR,WR,40.0,173.0,3292.0,19.0,32.0,9.0,20.0,2.2,1.0,182.0,3312.0,18.2,33.0,receiving & rushing table,[309.0],309.0,receiving & rushing table
2020,1,21,Jalen Reagor ,https://www.pro-football-reference.com/players/R/ReagJa00.htm,WR,21,PHI,2020,2020,0,0,0,0.0,2.0,2.0,0.0,0.0,0.0,5.0,96.0,0.0,TCU,https://www.sports-reference.com/cfb/players/jalen-reagor-1.html,Texas Christian,Big 12,JR,WR,39.0,148.0,2248.0,15.2,22.0,35.0,324.0,9.3,2.0,183.0,2572.0,14.1,24.0,receiving & rushing table,[96.0],96.0,receiving & rushing table
2020,1,22,Justin Jefferson ,https://www.pro-football-reference.com/players/J/JeffJu00.htm,WR,21,MIN,2020,2020,0,0,0,0.0,4.0,2.0,0.0,0.0,0.0,16.0,348.0,1.0,LSU,https://www.sports-reference.com/cfb/players/justin-jefferson-1.html,LSU,SEC,JR,WR,30.0,165.0,2415.0,14.6,24.0,6.0,30.0,5.0,0.0,171.0,2445.0,14.3,24.0,receiving & rushing table,[348.0],348.0,receiving & rushing table
2020,1,25,Brandon Aiyuk ,https://www.pro-football-reference.com/players/A/AiyuBr00.htm,WR,22,SFO,2020,2020,0,0,0,0.0,3.0,3.0,4.0,69.0,2.0,9.0,109.0,0.0,Arizona St.,https://www.sports-reference.com/cfb/players/brandon-aiyuk-1.html,Arizona State,Pac-12,SR,WR,25.0,98.0,1666.0,17.0,11.0,1.0,6.0,6.0,0.0,99.0,1672.0,16.9,11.0,receiving & rushing table,[109.0],109.0,receiving & rushing table
2020,2,33,Tee Higgins ,https://www.pro-football-reference.com/players/H/HiggTe00.htm,WR,21,CIN,2020,2020,0,0,0,0.0,4.0,2.0,1.0,13.0,0.0,12.0,152.0,2.0,Clemson,https://www.sports-reference.com/cfb/players/tee-higgins-1.html,Clemson,ACC,JR,WR,37.0,135.0,2448.0,18.1,27.0,1.0,36.0,36.0,1.0,136.0,2484.0,18.3,28.0,receiving & rushing table,[152.0],152.0,receiving & rushing table
2020,2,34,Michael Pittman Jr.,https://www.pro-football-reference.com/players/P/PittMi01.htm,WR,22,IND,2020,2020,0,0,0,0.0,3.0,1.0,0.0,0.0,0.0,9.0,73.0,0.0,USC,https://www.sports-reference.com/cfb/players/michael-pittman-jr-1.html,USC,Pac-12,SR,WR,41.0,171.0,2519.0,14.7,19.0,1.0,9.0,9.0,0.0,172.0,2528.0,14.7,19.0,receiving & rushing table,[73.0],73.0,receiving & rushing table
2020,2,42,Laviska Shenault Jr.,https://www.pro-football-reference.com/players/S/ShenLa00.htm,WR,21,JAX,2020,2020,0,0,0,0.0,4.0,3.0,9.0,53.0,0.0,16.0,191.0,1.0,Colorado,https://www.sports-reference.com/cfb/players/laviska-shenault-jr-1.html,Colorado,Pac-12,JR,WR,27.0,149.0,1943.0,13.0,10.0,42.0,280.0,6.7,7.0,191.0,2223.0,11.6,17.0,receiving & rushing table,[191.0],191.0,receiving & rushing table
2020,2,46,KJ Hamler ,https://www.pro-football-reference.com/players/H/HamlKJ00.htm,WR,21,DEN,2020,2020,0,0,0,0.0,3.0,2.0,2.0,7.0,0.0,6.0,78.0,0.0,Penn St.,https://www.sports-reference.com/cfb/players/kj-hamler-1.html,Penn State,Big Ten,SO,WR,26.0,98.0,1658.0,16.9,13.0,17.0,87.0,5.1,1.0,115.0,1745.0,15.2,14.0,receiving & rushing table,[78.0],78.0,receiving & rushing table
