year,round,pick,player,cfb_url,cfb_table_name,cfb_school,cfb_conference,cfb_class,cfb_pos,cfb_games,cfb_receptions,cfb_rec_yards,cfb_rec_yards_per_reception,cfb_rec_td,cfb_rushes,cfb_rushing_yards,cfb_rushing_yards_per_rush,cfb_rushing_td,cfb_plays,cfb_yards,cfb_yards_per_play,cfb_td,combine_method,combine_draft_age,combine_ht,combine_wt,combine_forty,combine_vertical,combine_benchreps,combine_broadjump,combine_cone,nfl_url,nfl_table_name,nfl_yards_per_year
2014,1,4,Sammy Watkins,https://www.sports-reference.com/cfb/players/sammy-watkins-1.html,receiving & rushing table,Clemson,ACC,JR,WR,36.0,240.0,3391.0,14.1,27.0,52.0,339.0,6.5,1.0,292.0,3730.0,12.8,28.0,success from merge,21,73.0,211.0,4.43,34.0,16.0,126.0,6.95,https://www.pro-football-reference.com/players/W/WatkSa00.htm,receiving & rushing table,"[982.0, 1047.0, 430.0, 593.0, 519.0, 673.0, 155.0]"
2014,1,7,Mike Evans,https://www.sports-reference.com/cfb/players/mike-evans-4.html,receiving & rushing table,Texas A&M,SEC,SO,WR,26.0,151.0,2499.0,16.5,17.0,0.0,0.0,0.0,0.0,151.0,2499.0,16.5,17.0,success from merge,21,77.0,231.0,4.53,37.0,12.0,,7.08,https://www.pro-football-reference.com/players/E/EvanMi00.htm,receiving & rushing table,"[1051.0, 1206.0, 1321.0, 1001.0, 1524.0, 1157.0, 108.0]"
2014,1,12,Odell Beckham Jr.,https://www.sports-reference.com/cfb/players/odell-beckham-jr-1.html,receiving & rushing table,LSU,SEC,,WR,40.0,143.0,2340.0,16.4,12.0,7.0,77.0,11.0,0.0,150.0,2417.0,16.1,12.0,success from search,21,71.0,198.0,4.38,38.5,7.0,122.0,6.69,https://www.pro-football-reference.com/players/B/BeckOd00.htm,receiving & rushing table,"[1305.0, 1450.0, 1367.0, 302.0, 1052.0, 1035.0, 155.0]"
2014,1,20,Brandin Cooks,https://www.sports-reference.com/cfb/players/brandin-cooks-1.html,receiving & rushing table,Oregon State,Pac-12,JR,WR,38.0,226.0,3272.0,14.5,24.0,61.0,340.0,5.6,2.0,287.0,3612.0,12.6,26.0,success from merge,20,70.0,189.0,4.33,36.0,16.0,120.0,6.76,https://www.pro-football-reference.com/players/C/CookBr00.htm,receiving & rushing table,"[550.0, 1138.0, 1173.0, 1082.0, 1204.0, 583.0, 138.0]"
2014,1,28,Kelvin Benjamin,https://www.sports-reference.com/cfb/players/kelvin-benjamin-1.html,receiving & rushing table,Florida State,ACC,SO,WR,28.0,84.0,1506.0,17.9,19.0,2.0,33.0,16.5,0.0,86.0,1539.0,17.9,19.0,success from merge,23,77.0,240.0,4.61,32.5,13.0,119.0,7.33,https://www.pro-football-reference.com/players/B/BenjKe00.htm,receiving & rushing table,"[1008.0, 941.0, 692.0, 380.0]"
2014,2,39,Marqise Lee ,https://www.sports-reference.com/cfb/players/marqise-lee-1.html,receiving & rushing table,USC,Pac-12,JR,WR,36.0,248.0,3655.0,14.7,29.0,24.0,146.0,6.1,0.0,272.0,3801.0,14.0,29.0,success from search,22,72.0,192.0,4.52,38.0,,127.0,,https://www.pro-football-reference.com/players/L/LeexMa00.htm,receiving & rushing table,"[422.0, 191.0, 851.0, 702.0, 18.0]"
2014,2,42,Jordan Matthews,https://www.sports-reference.com/cfb/players/jordan-matthews-1.html,receiving & rushing table,Vanderbilt,SEC,SR,WR,51.0,262.0,3759.0,14.3,24.0,9.0,115.0,12.8,1.0,271.0,3874.0,14.3,25.0,success from merge,22,75.0,212.0,4.46,35.5,21.0,120.0,6.95,https://www.pro-football-reference.com/players/M/MattJo00.htm,receiving & rushing table,"[872.0, 997.0, 804.0, 282.0, 300.0, 33.0]"
2014,2,45,Paul Richardson ,https://www.sports-reference.com/cfb/players/paul-richardson-1.html,receiving & rushing table,Colorado,Pac-12,JR,WR,33.0,156.0,2412.0,15.5,21.0,9.0,38.0,4.2,0.0,165.0,2450.0,14.8,21.0,success from search,22,72.0,175.0,4.4,38.0,,124.0,7.09,https://www.pro-football-reference.com/players/R/RichPa01.htm,receiving & rushing table,"[271.0, 40.0, 288.0, 703.0, 262.0, 245.0]"
2014,2,53,Davante Adams,https://www.sports-reference.com/cfb/players/davante-adams-1.html,receiving & rushing table,Fresno State,MWC,SO,WR,26.0,233.0,3031.0,13.0,38.0,0.0,0.0,0.0,0.0,233.0,3031.0,13.0,38.0,success from merge,21,73.0,212.0,4.56,39.5,14.0,123.0,6.82,https://www.pro-football-reference.com/players/A/AdamDa01.htm,receiving & rushing table,"[446.0, 483.0, 997.0, 885.0, 1386.0, 997.0, 192.0]"
2014,2,56,Cody Latimer,https://www.sports-reference.com/cfb/players/cody-latimer-1.html,receiving & rushing table,Indiana,Big Ten,JR,WR,32.0,135.0,2042.0,15.1,17.0,2.0,3.0,1.5,0.0,137.0,2045.0,14.9,17.0,success from merge,21,74.0,215.0,4.52,,23.0,,,https://www.pro-football-reference.com/players/L/LatiCo00.htm,receiving & rushing table,"[23.0, 59.0, 76.0, 287.0, 190.0, 300.0]"
2014,2,61,Allen Robinson,https://www.sports-reference.com/cfb/players/allen-robinson-1.html,receiving & rushing table,Penn State,Big Ten,JR,WR,35.0,177.0,2479.0,14.0,17.0,6.0,36.0,6.0,0.0,183.0,2515.0,13.7,17.0,success from merge,21,75.0,220.0,4.6,39.0,,127.0,7.0,https://www.pro-football-reference.com/players/R/RobiAl02.htm,receiving & rushing table,"[548.0, 1400.0, 883.0, 17.0, 754.0, 1147.0, 230.0]"
2014,2,63,Jarvis Landry,https://www.sports-reference.com/cfb/players/jarvis-landry-1.html,receiving & rushing table,LSU,SEC,JR,WR,40.0,137.0,1809.0,13.2,15.0,0.0,0.0,0.0,0.0,137.0,1809.0,13.2,15.0,success from merge,21,71.0,205.0,4.65,28.5,12.0,110.0,,https://www.pro-football-reference.com/players/L/LandJa00.htm,receiving & rushing table,"[758.0, 1157.0, 1136.0, 987.0, 976.0, 1174.0, 143.0]"
2014,3,86,Josh Huff,https://www.sports-reference.com/cfb/players/josh-huff-1.html,receiving & rushing table,Oregon,Pac-12,SR,WR,49.0,144.0,2366.0,16.4,24.0,18.0,242.0,13.4,2.0,162.0,2608.0,16.1,26.0,success from merge,22,71.0,206.0,4.51,35.5,14.0,116.0,,https://www.pro-football-reference.com/players/H/HuffJo00.htm,receiving & rushing table,"[98.0, 312.0, 113.0]"
