cfb_school,cfb_conference,cfb_class,cfb_pos,cfb_games,cfb_receptions,cfb_rec_yards,cfb_rec_yards_per_reception,cfb_rec_td,cfb_rushes,cfb_rushing_yards,cfb_rushing_yards_per_rush,cfb_rushing_td,cfb_plays,cfb_yards,cfb_yards_per_play,cfb_td,combine_draft_age,combine_ht,combine_wt,combine_forty,combine_vertical,combine_benchreps,combine_broadjump,combine_cone,rec_yards_ffs
Clemson,ACC,JR,WR,36.0,240.0,3391.0,14.1,27.0,52.0,339.0,6.5,1.0,292.0,3730.0,12.8,28.0,21,73.0,211.0,4.43,34.0,16.0,126.0,6.95,3571.0
Texas A&M,SEC,SO,WR,26.0,151.0,2499.0,16.5,17.0,0.0,0.0,0.0,0.0,151.0,2499.0,16.5,17.0,21,77.0,231.0,4.53,37.0,12.0,,7.08,6103.0
LSU,SEC,,WR,40.0,143.0,2340.0,16.4,12.0,7.0,77.0,11.0,0.0,150.0,2417.0,16.1,12.0,21,71.0,198.0,4.38,38.5,7.0,122.0,6.69,5476.0
Oregon State,Pac-12,JR,WR,38.0,226.0,3272.0,14.5,24.0,61.0,340.0,5.6,2.0,287.0,3612.0,12.6,26.0,20,70.0,189.0,4.33,36.0,16.0,120.0,6.76,5147.0
Florida State,ACC,SO,WR,28.0,84.0,1506.0,17.9,19.0,2.0,33.0,16.5,0.0,86.0,1539.0,17.9,19.0,23,77.0,240.0,4.61,32.5,13.0,119.0,7.33,3021.0
USC,Pac-12,JR,WR,36.0,248.0,3655.0,14.7,29.0,24.0,146.0,6.1,0.0,272.0,3801.0,14.0,29.0,22,72.0,192.0,4.52,38.0,,127.0,,2184.0
Vanderbilt,SEC,SR,WR,51.0,262.0,3759.0,14.3,24.0,9.0,115.0,12.8,1.0,271.0,3874.0,14.3,25.0,22,75.0,212.0,4.46,35.5,21.0,120.0,6.95,3255.0
Colorado,Pac-12,JR,WR,33.0,156.0,2412.0,15.5,21.0,9.0,38.0,4.2,0.0,165.0,2450.0,14.8,21.0,22,72.0,175.0,4.4,38.0,,124.0,7.09,1564.0
Fresno State,MWC,SO,WR,26.0,233.0,3031.0,13.0,38.0,0.0,0.0,0.0,0.0,233.0,3031.0,13.0,38.0,21,73.0,212.0,4.56,39.5,14.0,123.0,6.82,4197.0
Indiana,Big Ten,JR,WR,32.0,135.0,2042.0,15.1,17.0,2.0,3.0,1.5,0.0,137.0,2045.0,14.9,17.0,21,74.0,215.0,4.52,,23.0,,,635.0
Penn State,Big Ten,JR,WR,35.0,177.0,2479.0,14.0,17.0,6.0,36.0,6.0,0.0,183.0,2515.0,13.7,17.0,21,75.0,220.0,4.6,39.0,,127.0,7.0,3602.0
LSU,SEC,JR,WR,40.0,137.0,1809.0,13.2,15.0,0.0,0.0,0.0,0.0,137.0,1809.0,13.2,15.0,21,71.0,205.0,4.65,28.5,12.0,110.0,,5014.0
Oregon,Pac-12,SR,WR,49.0,144.0,2366.0,16.4,24.0,18.0,242.0,13.4,2.0,162.0,2608.0,16.1,26.0,22,71.0,206.0,4.51,35.5,14.0,116.0,,523.0
Ole Miss,SEC,JR,WR,38.0,156.0,2371.0,15.2,20.0,0.0,0.0,0.0,0.0,156.0,2371.0,15.2,20.0,21,74.0,221.0,4.4,39.5,13.0,132.0,7.02,2543.0
,,,,,,,,,,,,,,,,,24,70.0,179.0,4.34,36.5,,119.0,6.91,3230.0
Kent State,MAC,SR,RB,47.0,99.0,1194.0,12.1,12.0,325.0,2342.0,7.2,24.0,424.0,3536.0,8.3,36.0,23,68.0,173.0,4.26,38.0,20.0,122.0,6.86,23.0
Oklahoma,Big 12,SR,WR,48.0,203.0,3085.0,15.2,26.0,32.0,301.0,9.4,2.0,235.0,3386.0,14.4,28.0,21,69.0,165.0,4.44,34.0,,122.0,,7.0
South Carolina,SEC,JR,WR,38.0,106.0,1586.0,15.0,16.0,25.0,148.0,5.9,1.0,131.0,1734.0,13.2,17.0,23,69.0,197.0,4.45,39.5,15.0,120.0,6.69,769.0
UCLA,Pac-12,SR,WR,46.0,133.0,1956.0,14.7,14.0,2.0,6.0,3.0,0.0,135.0,1962.0,14.5,14.0,23,73.0,213.0,4.51,34.5,13.0,122.0,7.07,0.0
Clemson,ACC,JR,WR,37.0,61.0,1354.0,22.2,13.0,1.0,17.0,17.0,0.0,62.0,1371.0,22.1,13.0,22,76.0,211.0,4.42,39.0,16.0,124.0,7.18,2183.0
Alabama,SEC,,WR,49.0,81.0,1275.0,15.7,12.0,0.0,0.0,0.0,0.0,81.0,1275.0,15.7,12.0,24,74.0,198.0,4.48,33.0,8.0,121.0,6.68,102.0
Tulane,CUSA,SR,WR,47.0,196.0,2769.0,14.1,21.0,5.0,3.0,0.6,0.0,201.0,2772.0,13.8,21.0,23,72.0,199.0,4.64,35.5,8.0,119.0,6.68,1319.0
Pitt,ACC,SR,WR,49.0,202.0,2901.0,14.4,16.0,11.0,77.0,7.0,0.0,213.0,2978.0,14.0,16.0,23,75.0,198.0,4.55,37.0,,124.0,6.89,152.0
Wisconsin,Big Ten,SR,WR,53.0,202.0,3140.0,15.5,23.0,28.0,291.0,10.4,2.0,230.0,3431.0,14.9,25.0,23,73.0,195.0,4.5,30.5,4.0,117.0,6.8,163.0
Wyoming,MWC,SR,WR,42.0,152.0,2025.0,13.3,20.0,54.0,310.0,5.7,0.0,206.0,2335.0,11.3,20.0,22,69.0,193.0,4.48,35.5,18.0,125.0,6.84,58.0
Penn State,Big Ten,FR,WR,51.0,181.0,2429.0,13.4,19.0,10.0,75.0,7.5,2.0,191.0,2504.0,13.1,21.0,22,72.0,188.0,4.46,33.0,,119.0,6.82,814.0
,,,,,,,,,,,,,,,,,22,73.0,198.0,4.5,36.5,15.0,118.0,7.08,1.0
,,,,,,,,,,,,,,,,,22,,,,,,,,142.0
Nebraska,Big Ten,SR,WR,49.0,115.0,1526.0,13.3,15.0,3.0,-1.0,-0.3,0.0,118.0,1525.0,12.9,15.0,22,74.0,225.0,4.41,,19.0,,,1617.0
Wake Forest,ACC,SR,WR,42.0,229.0,2506.0,10.9,14.0,51.0,238.0,4.7,2.0,280.0,2744.0,9.8,16.0,23,69.0,192.0,4.46,39.0,20.0,122.0,6.77,310.0
,,,,,,,,,,,,,,,,,23,75.0,219.0,4.42,37.5,20.0,123.0,6.64,200.0
LSU,SEC,SR,WR,47.0,25.0,304.0,12.2,0.0,0.0,0.0,0.0,0.0,25.0,304.0,12.2,0.0,22,,,,,,,,197.0
Baylor,Big 12,SR,WR,47.0,187.0,3102.0,16.6,24.0,11.0,136.0,12.4,0.0,198.0,3238.0,16.4,24.0,23,70.0,163.0,4.46,41.0,,132.0,6.63,0.0
Michigan,Big Ten,SR,WR,51.0,173.0,2704.0,15.6,17.0,17.0,97.0,5.7,0.0,190.0,2801.0,14.7,17.0,24,67.0,185.0,4.49,,15.0,,,0.0
West Virginia,Big 12,SR,WR,52.0,288.0,3413.0,11.9,29.0,110.0,1033.0,9.4,6.0,398.0,4446.0,11.2,35.0,23,68.0,174.0,4.34,32.0,14.0,120.0,,1689.0
Clemson,ACC,JR,WR,39.0,206.0,3020.0,14.7,27.0,0.0,0.0,0.0,0.0,206.0,3020.0,14.7,27.0,21,73.0,214.0,4.57,36.0,15.0,115.0,,5865.0
Tennessee,SEC,JR,WR,12.0,46.0,778.0,16.9,5.0,25.0,308.0,12.3,3.0,71.0,1086.0,15.3,8.0,22,74.0,216.0,4.42,37.0,,128.0,,1625.0
Tennessee,SEC,JR,WR,28.0,106.0,1812.0,17.1,18.0,0.0,0.0,0.0,0.0,106.0,1812.0,17.1,18.0,22,76.0,196.0,4.44,39.5,,136.0,,1328.0
USC,Pac-12,JR,WR,38.0,252.0,2930.0,11.6,32.0,14.0,142.0,10.1,0.0,266.0,3072.0,11.5,32.0,21,72.0,201.0,4.51,33.5,14.0,117.0,7.15,3232.0
Marshall,CUSA,SR,WR,47.0,165.0,2398.0,14.5,24.0,3.0,19.0,6.3,0.0,168.0,2417.0,14.4,24.0,22,75.0,210.0,4.37,,,,,698.0
Baylor,Big 12,SR,WR,51.0,202.0,3334.0,16.5,27.0,3.0,17.0,5.7,0.0,205.0,3351.0,16.3,27.0,23,74.0,208.0,4.52,32.5,11.0,119.0,7.01,3359.0
California,Pac-12,JR,WR,33.0,205.0,2570.0,12.5,17.0,30.0,230.0,7.7,2.0,235.0,2800.0,11.9,19.0,21,74.0,206.0,4.58,,,,,4010.0
Texas,Big 12,SR,WR,50.0,120.0,1364.0,11.4,7.0,46.0,405.0,8.8,3.0,166.0,1769.0,10.7,10.0,22,69.0,183.0,4.27,,13.0,132.0,,1742.0
Oregon State,Pac-12,SR,WR,49.0,227.0,2994.0,13.2,16.0,83.0,631.0,7.6,5.0,310.0,3625.0,11.7,21.0,22,71.0,189.0,4.45,37.0,20.0,120.0,6.8,1559.0
West Virginia,Big 12,JR,WR,39.0,210.0,3218.0,15.3,41.0,2.0,13.0,6.5,0.0,212.0,3231.0,15.2,41.0,22,70.0,193.0,4.52,34.5,11.0,117.0,6.81,843.0
South Carolina,SEC,JR,WR,40.0,99.0,1230.0,12.4,13.0,12.0,72.0,6.0,0.0,111.0,1302.0,11.7,13.0,21,67.0,173.0,4.58,32.0,7.0,117.0,6.81,539.0
Texas Christian,Big 12,JR,WR,39.0,161.0,2535.0,15.7,22.0,4.0,7.0,1.8,1.0,165.0,2542.0,15.4,23.0,22,71.0,206.0,4.38,34.0,22.0,131.0,6.68,121.0
Kansas State,Big 12,SR,WR,39.0,123.0,1734.0,14.1,12.0,8.0,45.0,5.6,0.0,131.0,1779.0,13.6,12.0,23,73.0,229.0,4.55,35.5,20.0,116.0,6.89,0.0
Louisiana Tech,WAC,SR,WR,25.0,183.0,2594.0,14.2,24.0,11.0,37.0,3.4,0.0,194.0,2631.0,13.6,24.0,23,72.0,204.0,4.53,33.0,8.0,118.0,6.91,880.0
Michigan,Big Ten,SR,QB,49.0,3.0,31.0,10.3,0.0,723.0,4495.0,6.2,42.0,726.0,4526.0,6.2,42.0,22,70.0,199.0,4.43,36.5,,123.0,7.09,310.0
Oklahoma,Big 12,JR,WR,38.0,204.0,2594.0,12.7,24.0,3.0,23.0,7.7,0.0,207.0,2617.0,12.6,24.0,21,72.0,194.0,4.38,33.5,16.0,124.0,,3585.0
Georgia,SEC,SR,WR,56.0,136.0,2602.0,19.1,21.0,3.0,5.0,1.7,0.0,139.0,2607.0,18.8,21.0,23,72.0,189.0,4.47,36.5,11.0,123.0,6.91,303.0
Virginia Tech,ACC,SR,WR,20.0,45.0,834.0,18.5,6.0,1.0,10.0,10.0,0.0,46.0,844.0,18.3,6.0,23,74.0,204.0,4.43,31.5,12.0,120.0,,288.0
Texas A&M,SEC,SR,WR,51.0,252.0,3117.0,12.4,24.0,19.0,59.0,3.1,0.0,271.0,3176.0,11.7,24.0,22,72.0,205.0,4.34,37.0,16.0,125.0,6.76,0.0
Oklahoma,Big 12,SR,WR,49.0,146.0,1926.0,13.2,8.0,3.0,-12.0,-4.0,0.0,149.0,1914.0,12.8,8.0,22,,,,,,,,94.0
,,,,,,,,,,,,,,,,,22,70.0,193.0,4.59,33.0,14.0,117.0,,0.0
Arkansas,SEC,SR,WR,51.0,175.0,2854.0,16.3,18.0,1.0,-8.0,-8.0,0.0,176.0,2846.0,16.2,18.0,22,74.0,212.0,4.56,29.5,11.0,107.0,,242.0
San Diego State,MWC,SR,WR,49.0,65.0,901.0,13.9,7.0,0.0,0.0,0.0,0.0,65.0,901.0,13.9,7.0,23,,,,,,,,1177.0
,,,,,,,,,,,,,,,,,24,,,,,,,,834.0
Maryland,ACC,SR,WR,47.0,81.0,1088.0,13.4,9.0,1.0,4.0,4.0,0.0,82.0,1092.0,13.3,9.0,23,,,,,,,,4.0
Washington State,Pac-12,JR,WR,33.0,189.0,3207.0,17.0,23.0,3.0,10.0,3.3,0.0,192.0,3217.0,16.8,23.0,20,75.0,194.0,4.51,34.5,7.0,122.0,6.65,777.0
,,,,,,,,,,,,,,,,,23,74.0,217.0,4.54,33.5,9.0,123.0,7.11,0.0
Oklahoma State,Big 12,JR,WR,38.0,253.0,3564.0,14.1,40.0,8.0,84.0,10.5,1.0,261.0,3648.0,14.0,41.0,22,73.0,207.0,4.46,,14.0,,,1280.0
Notre Dame,Ind,SR,WR,43.0,271.0,3686.0,13.6,37.0,4.0,30.0,7.5,1.0,275.0,3716.0,13.5,38.0,22,75.0,220.0,4.4,36.5,16.0,122.0,,3781.0
Baylor,Big 12,SR,WR,50.0,302.0,4004.0,13.3,30.0,75.0,425.0,5.7,2.0,377.0,4429.0,11.7,32.0,22,70.0,196.0,4.49,38.5,,121.0,6.93,3244.0
Illinois,Big Ten,SR,WR,46.0,167.0,2432.0,14.6,19.0,6.0,25.0,4.2,0.0,173.0,2457.0,14.2,19.0,22,72.0,190.0,4.37,38.5,12.0,124.0,,223.0
,,,,,,,,,,,,,,,,,23,75.0,220.0,4.5,34.0,15.0,119.0,7.1,1499.0
Georgia Tech,ACC,JR,WR,38.0,49.0,1248.0,25.5,9.0,12.0,147.0,12.3,1.0,61.0,1395.0,22.9,10.0,21,76.0,215.0,4.36,39.5,14.0,133.0,6.88,594.0
South Carolina,SEC,JR,WR,40.0,183.0,3042.0,16.6,23.0,0.0,0.0,0.0,0.0,183.0,3042.0,16.6,23.0,22,75.0,216.0,4.48,,,,,4549.0
Oklahoma,Big 12,SR,WR,48.0,349.0,4586.0,13.1,45.0,15.0,97.0,6.5,1.0,364.0,4683.0,12.9,46.0,24,70.0,192.0,4.57,,21.0,,,420.0
LSU,SEC,JR,WR,40.0,97.0,1634.0,16.8,13.0,0.0,0.0,0.0,0.0,97.0,1634.0,16.8,13.0,21,75.0,210.0,4.55,31.0,15.0,121.0,6.99,2644.0
Ohio State,Big Ten,SR,WR,42.0,136.0,1955.0,14.4,18.0,3.0,13.0,4.3,0.0,139.0,1968.0,14.2,18.0,22,74.0,211.0,4.39,36.5,14.0,123.0,7.03,272.0
North Carolina State,ACC,SR,WR,46.0,99.0,1453.0,14.7,12.0,5.0,-9.0,-1.8,0.0,104.0,1444.0,13.9,12.0,23,71.0,188.0,4.34,33.5,8.0,120.0,6.77,794.0
Rutgers,Big East,JR,WR,38.0,210.0,2263.0,10.8,12.0,125.0,653.0,5.2,9.0,335.0,2916.0,8.7,21.0,23,73.0,211.0,4.62,36.0,19.0,126.0,6.88,2446.0
Florida International,Sun Belt,SR,WR,50.0,229.0,3531.0,15.4,24.0,69.0,498.0,7.2,7.0,298.0,4029.0,13.5,31.0,22,69.0,183.0,4.34,,,,,5861.0
Wake Forest,ACC,JR,WR,36.0,163.0,2473.0,15.2,21.0,45.0,238.0,5.3,2.0,208.0,2711.0,13.0,23.0,22,71.0,198.0,4.35,33.5,19.0,118.0,6.97,1779.0
Miami (FL),ACC,SR,WR,49.0,131.0,2146.0,16.4,13.0,25.0,126.0,5.0,1.0,156.0,2272.0,14.6,14.0,22,70.0,172.0,4.31,38.0,14.0,119.0,,2360.0
Arkansas,SEC,SR,WR,47.0,164.0,2410.0,14.7,17.0,27.0,248.0,9.2,2.0,191.0,2658.0,13.9,19.0,22,71.0,179.0,4.51,36.0,,123.0,7.09,7.0
Fresno State,WAC,SR,WR,43.0,98.0,1327.0,13.5,8.0,18.0,118.0,6.6,0.0,116.0,1445.0,12.5,8.0,24,69.0,187.0,4.36,39.0,17.0,123.0,,53.0
Arkansas,SEC,SR,WR,50.0,168.0,2934.0,17.5,24.0,2.0,10.0,5.0,0.0,170.0,2944.0,17.3,24.0,22,70.0,182.0,4.39,38.0,11.0,120.0,6.93,1841.0
Michigan State,Big Ten,SR,WR,48.0,127.0,1714.0,13.5,10.0,64.0,540.0,8.4,3.0,191.0,2254.0,11.8,13.0,22,71.0,188.0,4.42,39.5,13.0,122.0,6.85,685.0
Wisconsin,Big Ten,SR,WR,47.0,171.0,2447.0,14.3,18.0,6.0,34.0,5.7,0.0,177.0,2481.0,14.0,18.0,23,74.0,215.0,4.49,37.5,18.0,,,283.0
Arkansas,SEC,SR,WR,44.0,133.0,2066.0,15.5,15.0,0.0,0.0,0.0,0.0,133.0,2066.0,15.5,15.0,22,75.0,219.0,4.52,36.5,19.0,125.0,,0.0
