0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
UAB,CUSA,SR,QB,37.0,32,471,14.7,4,516,2774,5.4,24,548,3245,5.9,28
North Carolina,ACC,SR,WR,41.0,46,927,20.2,8,26,294,11.3,2,72,1221,17.0,10
Kent State,MAC,SR,QB,31.0,1,11,11.0,0,502,2483,4.9,22,503,2494,5.0,22
0,,,,,,,,,,,,,,,,
UCLA,Pac-10,SR,DB,29.0,,,,,2,-6,-3.0,0,2,-6,-3.0,0
Penn State,Big Ten,SR,QB,45.0,52,629,12.1,3,369,1637,4.4,20,421,2266,5.4,23
Virginia,ACC,SR,QB,51.0,30,273,9.1,0,239,902,3.8,11,269,1175,4.4,11
Fresno State,WAC,SR,WR,52.0,89,986,11.1,9,48,337,7.0,3,137,1323,9.7,12
Penn State,Big Ten,SR,WR,12.0,15,236,15.7,3,,,,,15,236,15.7,3
Arkansas,SEC,SR,QB,46.0,4,58,14.5,0,382,2535,6.6,24,386,2593,6.7,24
0,,,,,,,,,,,,,,,,
West Virginia,Big East,SR,QB,39.0,2,22,11.0,0,452,1863,4.1,24,454,1885,4.2,24
Tennessee,SEC,SR,WR,38.0,36,556,15.4,5,7,65,9.3,0,43,621,14.4,5
Notre Dame,Ind,SR,WR,40.0,63,826,13.1,5,64,320,5.0,1,127,1146,9.0,6
Memphis,CUSA,SR,WR,36.0,59,838,14.2,6,162,500,3.1,7,221,1338,6.1,13
Indiana,Big Ten,SR,QB,44.0,7,90,12.9,1,857,3895,4.5,44,864,3985,4.6,45
North Carolina,ACC,SR,QB,37.0,1,2,2.0,0,348,1249,3.6,13,349,1251,3.6,13
