year,round,pick,player,nfl url,pos,draft age,team,entry year,last year,1st team pro select,pro select,weighted career av,years as primary starter,games,games started,rushing attempts,rushing yards,rushing td,receiving attemps,receiving yards,receiving td,college,cfb url,cfb school,cfb conference,cfb class,cfb pos,cfb games,cfb receptions,cfb yards,cfb average,cfb td,cfb attemps rushing,cfb yards rushing,cfb avg rushing,cfb td rushing,cfb scrimmages,cfb yards total,cfb avg total,cfb td total,nfl age,nfl team,nfl pos,nfl no,nfl game,nfl game started,nfl target,nfl receptions,nfl yards,nfl y/r,nfl td,nfl first downs,nfl longest rec,nfl rec per game,nfl yards per game,nfl catch ratio,nfl yards per target,nfl rushes,nfl rush yards,nfl rush td,nfl first downs rush,nfl longest rush,nfl rush yards per attempt,nfl rush yards per game,nfl rush attempt per games,nfl total touches,nfl yards per touch,nfl yards from scrimmage,nfl total td,nfl fumbles,nfl av,nfl table type,cfb method,nfl method
2001,6,166,Bobby Newcombe,nfl link is missing,WR,,ARI,,,0,0,0,,,,,,,,,,Nebraska,https://www.sports-reference.com/cfb/players/bobby-newcombe-1.html,Nebraska,Big 12,SR,WR,41.0,145,489,3.4,12,45,660,14.7,4,190,1149,6.0,16,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,success,fail (eg link broken)
2001,6,169,Cedrick Wilson,https://www.pro-football-reference.com/players/W/WilsCe00.htm,WR,22.0,SFO,2001.0,2007.0,0,0,2,22.0,100.0,33.0,7.0,53.0,0.0,178.0,2365.0,8.0,Tennessee,https://www.sports-reference.com/cfb/players/cedrick-wilson-1.html,Tennessee,SEC,SR,WR,45.0,159,2137,13.4,24,,,,,159,2137,13.4,24,29,PIT,se,80,100,33,322,178,2365,13.3,8,128,46,1.8,23.7,55.3%,7.3,7,53,0,2,37,7.6,0.5,0.1,185,13.1,2418,8,4,24,Receiving & Rushing Table,success,success from main
2001,6,190,Kevin Kasper,https://www.pro-football-reference.com/players/K/KaspKe00.htm,WR,23.0,DEN,2001.0,2006.0,0,0,0,2.0,39.0,9.0,7.0,34.0,0.0,24.0,287.0,3.0,Iowa,https://www.sports-reference.com/cfb/players/kevin-kasper-1.html,Iowa,Big Ten,SR,WR,43.0,157,1974,12.6,11,2,-20,-10.0,0,159,1954,12.3,11,29,DET,te,83,39,9,46,24,287,12.0,3,6,24,0.6,7.4,52.2%,6.2,7,34,0,0,27,4.9,0.9,0.2,31,10.4,321,3,1,,Receiving & Rushing Table,success,success from main1
2001,6,197,Francis St. Paul,nfl link is missing,WR,,STL,,,0,0,0,,,,,,,,,,Northern Arizona,https://www.sports-reference.com/cfb/players/francis-st.-1.html,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail (eg link broken),fail (eg link broken)
2001,7,204,T.J. Houshmandzadeh,https://www.pro-football-reference.com/players/H/HousTJ00.htm,WR,23.0,CIN,2001.0,2011.0,0,1,6,56.0,146.0,92.0,23.0,142.0,1.0,627.0,7237.0,44.0,Oregon St.,https://www.sports-reference.com/cfb/players/tj-houshmandzadeh-1.html,Oregon State,Pac-10,SR,WR,23.0,72,1108,15.4,9,1,23,23.0,0,73,1131,15.5,9,34,OAK,,84,146,92,983,627,7237,11.5,44,395,62,4.3,49.6,63.8%,7.4,23,142,1,6,17,6.2,1.0,0.2,650,11.4,7379,45,12,66,Receiving & Rushing Table,success,success from main
2001,7,208,John Capel,nfl link is missing,WR,,CHI,,,0,0,0,,,,,,,,,,Florida,https://www.sports-reference.com/cfb/players/john-capel-1.html,Florida,SEC,,WR,23.0,20,143,7.2,1,11,88,8.0,0,31,231,7.5,1,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,success,fail (eg link broken)
2001,7,214,Reggie Germany,https://www.pro-football-reference.com/players/G/GermRe00.htm,WR,23.0,BUF,2001.0,2001.0,0,0,0,2.0,16.0,1.0,,,,12.0,203.0,0.0,Ohio St.,https://www.sports-reference.com/cfb/players/reggie-germany-1.html,Ohio State,Big Ten,SR,WR,42.0,80,1268,15.9,6,,,,,80,1268,15.9,6,23,BUF,wr,84,16,1,21,12,203,16.9,0,8,39,0.8,12.7,57.1%,9.7,,,,,,,,,12,16.9,203,0,0,2,Receiving & Rushing Table,success,success from main
2001,7,218,Chris Taylor,nfl link is missing,WR,,PIT,,,0,0,0,,,,,,,,,,Texas A&M,https://www.sports-reference.com/cfb/players/chris-taylor-2.html,Texas A&M,Big 12,SR,WR,47.0,83,1316,15.9,7,6,69,11.5,1,89,1385,15.6,8,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,success,fail (eg link broken)
2001,7,229,Ken-Yon Rambo,https://www.pro-football-reference.com/players/R/RambKe00.htm,WR,22.0,OAK,2001.0,2002.0,0,0,0,1.0,29.0,0.0,,,,17.0,239.0,0.0,Ohio St.,https://www.sports-reference.com/cfb/players/ken-yon-rambo-1.html,Ohio State,Big Ten,SR,WR,47.0,106,1849,17.4,9,13,53,4.1,0,119,1902,16.0,9,24,DAL,,87,29,,39,17,239,14.1,0,11,47,0.6,8.2,43.6%,6.1,,,,,,,,,17,14.1,239,0,3,1,Receiving & Rushing Table,success,success from main
2001,7,235,Richmond Flowers III,nfl link is missing,WR,,JAX,,,0,0,0,,,,,,,,,,Tenn-Chattanooga,https://www.sports-reference.com/cfb/players/richmond-flowers-1.html,Tennessee,SEC,,RB,28.0,140,481,3.4,7,101,1172,11.6,9,241,1653,6.9,16,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,success,fail (eg link broken)
