0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1057.0,1350.0,1426.0,1041.0,1297.0,964.0,1078.0,694.0,,,,,,,,
959.0,1198.0,580.0,1593.0,1871.0,1409.0,1444.0,1677.0,1394.0,,,,,,,
254.0,325.0,28.0,,,,,,,,,,,,,
607.0,383.0,,,,,,,,,,,,,,
841.0,855.0,1128.0,767.0,663.0,267.0,430.0,190.0,,,,,,,,
709.0,647.0,465.0,69.0,,,,,,,,,,,,
375.0,954.0,433.0,1287.0,829.0,610.0,653.0,383.0,828.0,,,,,,,
256.0,261.0,399.0,118.0,118.0,0.0,,,,,,,,,,
163.0,543.0,375.0,0.0,327.0,327.0,0.0,0.0,,,,,,,,
329.0,0.0,472.0,118.0,22.0,,,,,,,,,,,
0.0,22.0,329.0,40.0,,,,,,,,,,,,
30.0,125.0,490.0,54.0,,,,,,,,,,,,
19.0,224.0,122.0,,,,,,,,,,,,,
264.0,0.0,0.0,0.0,143.0,167.0,41.0,89.0,,,,,,,,
30.0,979.0,777.0,557.0,484.0,152.0,,,,,,,,,,
0.0,123.0,305.0,0.0,,,,,,,,,,,,
0.0,42.0,,,,,,,,,,,,,,
618.0,741.0,695.0,115.0,0.0,,,,,,,,,,,
314.0,827.0,523.0,409.0,152.0,667.0,217.0,7.0,,,,,,,,
25.0,152.0,51.0,507.0,27.0,94.0,98.0,,,,,,,,,
27.0,53.0,0.0,,,,,,,,,,,,,
222.0,80.0,116.0,396.0,13.0,40.0,7.0,,,,,,,,,
237.0,365.0,6.0,0.0,6.0,323.0,260.0,231.0,,,,,,,,
0.0,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,
38.0,35.0,76.0,,,,,,,,,,,,,
14.0,92.0,14.0,,,,,,,,,,,,,
36.0,,,,,,,,,,,,,,,
283.0,551.0,1434.0,1430.0,1619.0,1304.0,1083.0,949.0,677.0,402.0,275.0,433.0,,,,
