year,round,pick,player,pos,draft age,team,entry year,last year,1st team pro select,pro select,weighted career av,years as primary starter,games,games started,rushing attempts,rushing yards,rushing td,receiving attemps,receiving yards,receiving td,nfl url,nfl age,nfl team,nfl pos,nfl no,nfl game,nfl game started,nfl target,nfl receptions,nfl yards,nfl y/r,nfl td,nfl first downs,nfl longest rec,nfl rec per game,nfl yards per game,nfl catch ratio,nfl yards per target,nfl rushes,nfl rush yards,nfl rush td,nfl first downs rush,nfl longest rush,nfl rush yards per attempt,nfl rush yards per game,nfl rush attempt per games,nfl total touches,nfl yards per touch,nfl yards from scrimmage,nfl total td,nfl fumbles,nfl av,nfl table type,college,cfb url,cfb school,cfb conference,cfb class,cfb pos,cfb games,cfb receptions,cfb yards,cfb average,cfb td,cfb attemps rushing,cfb yards rushing,cfb avg rushing,cfb td rushing,cfb scrimmages,cfb yards total,cfb avg total,cfb td total,combine player,combine pos,combine ht,combine wt,combine forty,combine vertical,combine benchreps,combine broadjump,combine cone,combine shuttle,combine year,combine pfr_id,combine av,combine team,combine round,combine pick,nfl method,cfb method,combine method
2011,1,4,A.J. Green,WR,23.0,CIN,2011.0,2018.0,0,7,8,68.0,111.0,111.0,11.0,93.0,0.0,602.0,8907.0,63.0,https://www.pro-football-reference.com/players/G/GreeA.00.htm,30.0,CIN,WR,18.0,111.0,111.0,1026.0,602.0,8907.0,14.8,63.0,409.0,82.0,5.4,80.2,0.5870000000000001,8.7,11.0,93.0,0.0,5.0,22.0,8.5,0.8,0.1,613.0,14.7,9000.0,63.0,12.0,80.0,Receiving & Rushing Table,Georgia,https://www.sports-reference.com/cfb/players/aj-green-1.html,Georgia,SEC,JR,WR,32.0,166.0,2619.0,15.8,23.0,7.0,105.0,15.0,0.0,173.0,2724.0,15.7,23.0,A.J. Green,WR,76.0,211.0,4.48,34.5,18.0,126.0,6.91,4.21,2011.0,GreeA.00,36.0,Cincinnati Bengals,1.0,4.0,success from main,success,success from merge
2011,1,6,Julio Jones,WR,22.0,ATL,2011.0,2019.0,2,7,8,94.0,126.0,125.0,19.0,118.0,0.0,797.0,12125.0,57.0,https://www.pro-football-reference.com/players/J/JoneJu02.htm,30.0,ATL,WR,11.0,126.0,125.0,1252.0,797.0,12125.0,15.2,57.0,574.0,81.0,6.3,96.2,0.637,9.7,19.0,118.0,0.0,11.0,19.0,6.2,0.9,0.2,816.0,15.0,12243.0,57.0,11.0,113.0,Receiving & Rushing Table,Alabama,https://www.sports-reference.com/cfb/players/julio-jones-1.html,Alabama,SEC,JR,WR,40.0,179.0,2653.0,14.8,15.0,10.0,139.0,13.9,2.0,189.0,2792.0,14.8,17.0,Julio Jones,WR,75.0,220.0,4.34,38.5,17.0,135.0,6.66,4.25,2011.0,JoneJu02,28.0,Atlanta Falcons,1.0,6.0,success from main,success,success from merge
2011,1,26,Jonathan Baldwin,WR,22.0,KAN,2011.0,2013.0,0,0,0,4.0,33.0,11.0,,,,44.0,607.0,2.0,https://www.pro-football-reference.com/players/B/BaldJo00.htm,24.0,SFO,wr,84.0,33.0,11.0,108.0,44.0,607.0,13.8,2.0,29.0,57.0,1.3,18.4,0.407,5.6,,,,,,,,,44.0,13.8,607.0,2.0,0.0,4.0,Receiving & Rushing Table,Pittsburgh,https://www.sports-reference.com/cfb/players/jon-baldwin-1.html,Pitt,Big East,,WR,39.0,128.0,2337.0,18.3,16.0,5.0,68.0,13.6,0.0,133.0,2405.0,18.1,16.0,Jon Baldwin,WR,76.0,228.0,4.49,42.0,20.0,129.0,7.07,4.34,2011.0,BaldJo00,4.0,Kansas City Chiefs,1.0,26.0,success from main,success,success from merge
2011,2,44,Titus Young,WR,22.0,DET,2011.0,2012.0,0,0,2,8.0,26.0,17.0,4.0,31.0,0.0,81.0,990.0,10.0,https://www.pro-football-reference.com/players/Y/YounTi00.htm,23.0,DET,WR,16.0,26.0,17.0,142.0,81.0,990.0,12.2,10.0,53.0,57.0,3.1,38.1,0.57,7.0,4.0,31.0,0.0,2.0,11.0,7.8,1.2,0.2,85.0,12.0,1021.0,10.0,1.0,8.0,Receiving & Rushing Table,Boise St.,https://www.sports-reference.com/cfb/players/titus-young-1.html,Boise State,WAC,SR,WR,43.0,204.0,3063.0,15.0,25.0,47.0,350.0,7.4,8.0,251.0,3413.0,13.6,33.0,Titus Young,WR,71.0,174.0,4.43,,,123.0,,,2011.0,YounTi00,8.0,Detroit Lions,2.0,44.0,success from main,success,success from merge
2011,2,58,Torrey Smith,WR,22.0,BAL,2011.0,2018.0,0,0,7,38.0,119.0,106.0,8.0,45.0,0.0,319.0,5141.0,41.0,https://www.pro-football-reference.com/players/S/SmitTo02.htm,29.0,CAR,wr,11.0,119.0,106.0,643.0,319.0,5141.0,16.1,41.0,221.0,76.0,2.7,43.2,0.496,8.0,8.0,45.0,0.0,4.0,16.0,5.6,0.4,0.1,327.0,15.9,5186.0,41.0,2.0,43.0,Receiving & Rushing Table,Maryland,https://www.sports-reference.com/cfb/players/torrey-smith-1.html,Maryland,ACC,JR,WR,38.0,152.0,2215.0,14.6,19.0,21.0,66.0,3.1,1.0,173.0,2281.0,13.2,20.0,Torrey Smith,WR,73.0,204.0,4.41,41.0,19.0,126.0,6.72,4.13,2011.0,SmitTo02,24.0,Baltimore Ravens,2.0,58.0,success from main,success,success from merge
2011,2,59,Greg Little,WR,22.0,CLE,2011.0,2014.0,0,0,3,13.0,54.0,42.0,5.0,30.0,0.0,161.0,1890.0,8.0,https://www.pro-football-reference.com/players/L/LittGr00.htm,25.0,CIN,wr,88.0,54.0,42.0,324.0,161.0,1890.0,11.7,8.0,95.0,76.0,3.0,35.0,0.4970000000000001,5.8,5.0,30.0,0.0,3.0,17.0,6.0,0.6,0.1,166.0,11.6,1920.0,8.0,0.0,14.0,Receiving & Rushing Table,North Carolina,https://www.sports-reference.com/cfb/players/greg-little-1.html,North Carolina,ACC,JR,WR,37.0,166.0,805.0,4.8,6.0,86.0,969.0,11.3,6.0,252.0,1774.0,7.0,12.0,Greg Little,WR,74.0,231.0,4.51,40.5,27.0,129.0,6.8,4.21,2011.0,LittGr00,13.0,Cleveland Browns,2.0,59.0,success from main,success,success from merge
2011,2,64,Randall Cobb,WR,21.0,GNB,2011.0,2019.0,0,1,4,58.0,120.0,79.0,62.0,363.0,0.0,525.0,6352.0,44.0,https://www.pro-football-reference.com/players/C/CobbRa00.htm,29.0,DAL,wr,18.0,120.0,79.0,758.0,525.0,6352.0,12.1,44.0,318.0,75.0,4.4,52.9,0.693,8.4,62.0,363.0,0.0,17.0,67.0,5.9,3.0,0.5,587.0,11.4,6715.0,44.0,18.0,68.0,Receiving & Rushing Table,Kentucky,https://www.sports-reference.com/cfb/players/randall-cobb-1.html,Kentucky,SEC,JR,WR,36.0,228.0,1313.0,5.8,22.0,144.0,1661.0,11.5,13.0,372.0,2974.0,8.0,35.0,Randall Cobb,WR,70.0,191.0,4.46,33.5,16.0,115.0,7.08,4.34,2011.0,CobbRa00,22.0,Green Bay Packers,2.0,64.0,success from main,success,success from merge
2011,3,78,Austin Pettis,WR,23.0,STL,2011.0,2014.0,0,0,0,8.0,51.0,11.0,1.0,-6.0,0.0,107.0,1034.0,9.0,https://www.pro-football-reference.com/players/P/PettAu00.htm,,SDG,,,51.0,11.0,176.0,107.0,1034.0,9.7,9.0,55.0,36.0,2.1,20.3,0.608,5.9,1.0,-6.0,0.0,0.0,0.0,-6.0,-0.1,0.0,108.0,9.5,1028.0,9.0,3.0,8.0,Receiving & Rushing Table,Boise St.,https://www.sports-reference.com/cfb/players/austin-pettis-1.html,Boise State,WAC,SR,WR,52.0,229.0,2838.0,12.4,39.0,1.0,-11.0,-11.0,0.0,230.0,2827.0,12.3,39.0,Austin Pettis,WR,75.0,209.0,4.56,33.5,14.0,120.0,6.68,3.88,2011.0,PettAu00,7.0,St. Louis Rams,3.0,78.0,success from main,success,success from merge
2011,3,79,Leonard Hankerson,WR,23.0,WAS,2011.0,2015.0,0,0,0,11.0,41.0,14.0,2.0,5.0,0.0,107.0,1408.0,9.0,https://www.pro-football-reference.com/players/H/HankLe00.htm,,NWE,,15.0,41.0,14.0,174.0,107.0,1408.0,13.2,9.0,54.0,68.0,2.6,34.3,0.615,8.1,2.0,5.0,0.0,0.0,3.0,2.5,0.1,0.0,109.0,13.0,1413.0,9.0,0.0,12.0,Receiving & Rushing Table,Miami (FL),https://www.sports-reference.com/cfb/players/leonard-hankerson-1.html,Miami (FL),ACC,SR,WR,42.0,134.0,2160.0,16.1,22.0,,,,,134.0,2160.0,16.1,22.0,Leonard Hankerson,WR,73.0,209.0,4.4,36.0,14.0,117.0,6.94,4.21,2011.0,HankLe00,9.0,Washington Redskins,3.0,79.0,success from main,success,success from merge
2011,3,82,Vincent Brown,WR,22.0,SDG,2011.0,2015.0,0,0,1,9.0,38.0,16.0,,,,73.0,941.0,3.0,https://www.pro-football-reference.com/players/B/BrowVi00.htm,26.0,SDG,,86.0,38.0,16.0,133.0,73.0,941.0,12.9,3.0,53.0,51.0,1.9,24.8,0.5489999999999999,7.1,,,,,,,,,73.0,12.9,941.0,3.0,0.0,9.0,Receiving & Rushing Table,San Diego St.,https://www.sports-reference.com/cfb/players/vincent-brown-3.html,San Diego State,MWC,SR,WR,44.0,209.0,3110.0,14.9,23.0,7.0,34.0,4.9,0.0,216.0,3144.0,14.6,23.0,Vincent Brown,WR,71.0,187.0,4.68,33.5,12.0,121.0,6.64,4.25,2011.0,BrowVi00,8.0,San Diego Chargers,3.0,82.0,success from main,success,success from merge
