MERCURY ,,,,,,,,,,,,,
Mass (10^24 kg),0.33,,,,,,,,,,,,
Diameter (km),4879,,,,,,,,,,,,
Length of Day (hours),4222.6,,,,,,,,,,,,
Distance from Sun (106 km),57.9,,,,,,,,,,,,
Orbital Period (days),88,,,,,,,,,,,,
Orbital Velocity (km/s),47.4,,,,,,,,,,,,
Mean Temperature (C),167,,,,,,,,,,,,
Surface Pressure (bars),0,,,,,,,,,,,,
Number of Moons,0,,,,,,,,,,,,
Ring System?,No,,,,,,,,,,,,
Global Magnetic Field?,Yes,,,,,,,,,,,,
Day of first visit,29-Mar-74,,,,,,,,,,,,
First successful mission,Mariner 10,,,,,,,,,,,,
,,,,,,,,,,,,,
VENUS ,,,,,,,,,,,,,
Mass (10^24 kg),4.87,,,,,,,,,,,,
Diameter (km),"12,104",,,,,,,,,,,,
Length of Day (hours),2802,,,,,,,,,,,,
Distance from Sun (106 km),108.2,,,,,,,,,,,,
Orbital Period (days),224.7,,,,,,,,,,,,
Orbital Velocity (km/s),35,,,,,,,,,,,,
Mean Temperature (C),464,,,,,,,,,,,,
Surface Pressure (bars),92,,,,,,,,,,,,
Number of Moons,0,,,,,,,,,,,,
Ring System?,No,,,,,,,,,,,,
Global Magnetic Field?,No,,,,,,,,,,,,
Day of first visit,27-Aug-62,,,,,,,,,,,,
First successful mission,Mariner 2,,,,,,,,,,,,
,,,,,,,,,,,,,
EARTH ,,,,,,,,,,,,,
Mass (10^24 kg),5.97,,,,,,,,,,,,
Diameter (km),"12,756",,,,,,,,,,,,
Length of Day (hours),24,,,,,,,,,,,,
Distance from Sun (106 km),149.6,,,,,,,,,,,,
Orbital Period (days),365.2,,,,,,,,,,,,
Orbital Velocity (km/s),29.8,,,,,,,,,,,,
Mean Temperature (C),15,,,,,,,,,,,,
Surface Pressure (bars),1,,,,,,,,,,,,
Number of Moons,1,,,,,,,,,,,,
Ring System?,No,,,,,,,,,,,,
Global Magnetic Field?,Yes,,,,,,,,,,,,
Day of first visit,,,,,,,,,,,,,
First successful mission,,,,,,,,,,,,,
,,,,,,,,,,,,,
MOON ,,,,,,,,,,,,,
Mass (10^24 kg),0.073,,,,,,,,,,,,
Diameter (km),3475,,,,,,,,,,,,
Length of Day (hours),708.7,,,,,,,,,,,,
Distance from Sun (106 km),0.384*,,,,,,,,,,,,
Orbital Period (days),27.3,,,,,,,,,,,,
Orbital Velocity (km/s),1,,,,,,,,,,,,
Mean Temperature (C),-20,,,,,,,,,,,,
Surface Pressure (bars),0,,,,,,,,,,,,
Number of Moons,0,,,,,,,,,,,,
Ring System?,No,,,,,,,,,,,,
Global Magnetic Field?,No,,,,,,,,,,,,
Day of first visit,12-Sep-59,,,,,,,,,,,,
First successful mission,Luna 2,,,,,,,,,,,,
,,,,,,,,,,,,,
MARS,,,,,,,,,,,,,
Mass (10^24 kg),0.642,,,,,,,,,,,0.642,0.642
Diameter (km),6792,,,,,,,,,,,6792,6792
Length of Day (hours),24.7,,,,,,,,,,,24.7,24.7
Distance from Sun (106 km),227.9,,,,,,,,,,,227.9,227.9
Orbital Period (days),687,,,,,,,,,,,687,687
Orbital Velocity (km/s),24.1,,,,,,,,,,,24.1,24.1
Mean Temperature (C),-65,,,,,,,,,,,-65,-65
Surface Pressure (bars),0.01,,,,,,,,,,,0.01,0.01
Number of Moons,2,,,,,,,,,,,2,2
Ring System?,No,,,,,,,,,,,No,No
Global Magnetic Field?,No,,,,,,,,,,,No,No
Day of first visit,15-Jul-65,,,,,,,,,,,15-Jul-65,15-Jul-65
First successful mission,Mariner 4,,,,,,,,,,,Mariner 4,Mariner 4
,,,,,,,,,,,,,
JUPITER ,,,,,,,,,,,,,
Mass (10^24 kg),1898,,,,,,,,,,,,
Diameter (km),"142,984",,,,,,,,,,,,
Length of Day (hours),9.9,,,,,,,,,,,,
Distance from Sun (106 km),778.6,,,,,,,,,,,,
Orbital Period (days),4331,,,,,,,,,,,,
Orbital Velocity (km/s),13.1,,,,,,,,,,,,
Mean Temperature (C),-110,,,,,,,,,,,,
Surface Pressure (bars),Unknown*,,,,,,,,,,,,
Number of Moons,67,,,,,,,,,,,,
Ring System?,Yes,,,,,,,,,,,,
Global Magnetic Field?,Yes,,,,,,,,,,,,
Day of first visit,4-Dec-73,,,,,,,,,,,,
First successful mission,Pioneer 10,,,,,,,,,,,,
,,,,,,,,,,,,,
SATURN ,,,,,,,,,,,,,
Mass (10^24 kg),568,,,,,,,,,,,,
Diameter (km),"120,536",,,,,,,,,,,,
Length of Day (hours),10.7,,,,,,,,,,,,
Distance from Sun (106 km),1433.5,,,,,,,,,,,,
Orbital Period (days),"10,747",,,,,,,,,,,,
Orbital Velocity (km/s),9.7,,,,,,,,,,,,
Mean Temperature (C),-140,,,,,,,,,,,,
Surface Pressure (bars),Unknown*,,,,,,,,,,,,
Number of Moons,62,,,,,,,,,,,,
Ring System?,Yes,,,,,,,,,,,,
Global Magnetic Field?,Yes,,,,,,,,,,,,
Day of first visit,1-Sep-79,,,,,,,,,,,,
First successful mission,Pioneer 11,,,,,,,,,,,,
,,,,,,,,,,,,,
URANUS ,,,,,,,,,,,,,
Mass (10^24 kg),86.8,,,,,,,,,,,,
Diameter (km),"51,118",,,,,,,,,,,,
Length of Day (hours),17.2,,,,,,,,,,,,
Distance from Sun (106 km),2872.5,,,,,,,,,,,,
Orbital Period (days),"30,589",,,,,,,,,,,,
Orbital Velocity (km/s),6.8,,,,,,,,,,,,
Mean Temperature (C),-195,,,,,,,,,,,,
Surface Pressure (bars),Unknown*,,,,,,,,,,,,
Number of Moons,27,,,,,,,,,,,,
Ring System?,Yes,,,,,,,,,,,,
Global Magnetic Field?,Yes,,,,,,,,,,,,
Day of first visit,24-Jan-86,,,,,,,,,,,,
First successful mission,Voyager 2,,,,,,,,,,,,
,,,,,,,,,,,,,
NEPTUNE ,,,,,,,,,,,,,
Mass (10^24 kg),102,,,,,,,,,,,,
Diameter (km),"49,528",,,,,,,,,,,,
Length of Day (hours),16.1,,,,,,,,,,,,
Distance from Sun (106 km),4495.1,,,,,,,,,,,,
Orbital Period (days),"59,800",,,,,,,,,,,,
Orbital Velocity (km/s),5.4,,,,,,,,,,,,
Mean Temperature (C),-200,,,,,,,,,,,,
Surface Pressure (bars),Unknown*,,,,,,,,,,,,
Number of Moons,14,,,,,,,,,,,,
Ring System?,Yes,,,,,,,,,,,,
Global Magnetic Field?,Yes,,,,,,,,,,,,
Day of first visit,25-Aug-89,,,,,,,,,,,,
First successful mission,Voyager 2,,,,,,,,,,,,
,,,,,,,,,,,,,
PLUTO,,,,,,,,,,,,,
Mass (10^24 kg),0.0146,,,,,,,,,,,,
Diameter (km),2370,,,,,,,,,,,,
Length of Day (hours),153.3,,,,,,,,,,,,
Distance from Sun (106 km),5906.4,,,,,,,,,,,,
Orbital Period (days),"90,560",,,,,,,,,,,,
Orbital Velocity (km/s),4.7,,,,,,,,,,,,
Mean Temperature (C),-225,,,,,,,,,,,,
Surface Pressure (bars),0.00001,,,,,,,,,,,,
Number of Moons,5,,,,,,,,,,,,
Ring System?,No,,,,,,,,,,,,
Global Magnetic Field?,Unknown,,,,,,,,,,,,
Day of first visit,14-Jul-15,,,,,,,,,,,,
First successful mission,New Horizons,,,,,,,,,,,,
