creation_source,org_id,opted_in_to_mailing_list,enabled_for_marketing_drip,was_invited,creation_dayofweek,invited_others,adopted_user
GUEST_INVITE,11,1,0,1,1,0,0
ORG_INVITE,1,0,0,1,4,0,1
ORG_INVITE,94,0,0,1,1,1,0
GUEST_INVITE,1,0,0,1,1,0,0
GUEST_INVITE,193,0,0,1,3,0,0
GUEST_INVITE,197,0,0,1,1,0,0
SIGNUP,37,0,1,0,6,5,0
PERSONAL_PROJECTS,74,1,1,0,2,0,0
PERSONAL_PROJECTS,302,0,0,0,1,0,0
ORG_INVITE,318,1,1,1,2,1,1
SIGNUP,69,0,0,0,3,0,0
ORG_INVITE,130,0,0,1,3,0,0
ORG_INVITE,254,0,0,1,6,0,0
SIGNUP,0,0,0,0,3,0,0
PERSONAL_PROJECTS,175,0,0,0,1,0,0
PERSONAL_PROJECTS,211,0,0,0,0,0,0
GUEST_INVITE,175,1,0,1,2,0,0
GUEST_INVITE,2,0,0,1,5,0,0
SIGNUP,0,1,0,0,4,0,0
SIGNUP,58,0,0,0,3,0,1
PERSONAL_PROJECTS,54,0,0,0,1,1,0
ORG_INVITE,7,0,0,1,0,0,0
ORG_INVITE,6,1,0,1,4,3,0
SIGNUP,123,1,0,0,0,0,0
GUEST_INVITE,81,1,0,1,1,0,0
ORG_INVITE,56,0,0,1,6,0,0
ORG_INVITE,134,0,0,1,1,0,0
SIGNUP,6,0,0,0,0,0,0
SIGNUP,92,0,0,0,0,1,0
GUEST_INVITE,251,0,0,1,1,0,0
SIGNUP,283,0,0,0,3,0,0
PERSONAL_PROJECTS,98,1,1,0,2,0,0
GUEST_INVITE,401,0,0,1,1,0,1
ORG_INVITE,33,0,0,1,0,0,0
PERSONAL_PROJECTS,59,0,0,0,3,0,0
GUEST_INVITE,109,1,0,1,1,0,0
SIGNUP,276,0,0,0,1,5,0
PERSONAL_PROJECTS,208,0,0,0,6,0,0
ORG_INVITE,332,1,0,1,1,0,0
GUEST_INVITE,2,0,0,1,0,0,0
ORG_INVITE,64,0,0,1,2,0,0
SIGNUP,235,1,0,0,6,0,1
GUEST_INVITE,63,0,0,1,0,0,1
SIGNUP,14,0,0,0,2,0,0
SIGNUP_GOOGLE_AUTH,4,1,0,0,1,0,0
ORG_INVITE,127,0,0,1,2,0,0
ORG_INVITE,32,1,1,1,3,6,0
ORG_INVITE,224,0,0,1,6,0,0
SIGNUP,304,0,0,0,6,1,0
GUEST_INVITE,61,0,0,1,6,7,1
ORG_INVITE,0,0,1,1,3,0,0
PERSONAL_PROJECTS,0,0,0,0,0,0,0
GUEST_INVITE,37,0,0,1,5,0,1
GUEST_INVITE,51,1,1,1,6,0,0
SIGNUP_GOOGLE_AUTH,229,0,0,0,2,4,0
GUEST_INVITE,229,0,0,1,6,0,0
GUEST_INVITE,88,0,0,1,0,0,0
ORG_INVITE,304,1,0,1,0,0,0
SIGNUP_GOOGLE_AUTH,325,0,0,0,4,0,0
ORG_INVITE,88,0,0,1,4,0,0
SIGNUP_GOOGLE_AUTH,150,0,0,0,2,0,0
SIGNUP,347,0,0,0,1,0,0
SIGNUP_GOOGLE_AUTH,203,0,0,0,3,0,1
SIGNUP,21,0,0,0,3,0,0
SIGNUP_GOOGLE_AUTH,409,0,0,0,1,0,0
ORG_INVITE,215,0,0,1,0,0,0
ORG_INVITE,141,0,0,1,2,0,0
SIGNUP_GOOGLE_AUTH,5,1,0,0,2,0,0
GUEST_INVITE,107,0,0,1,4,4,1
GUEST_INVITE,184,0,0,1,4,0,0
PERSONAL_PROJECTS,310,0,0,0,6,0,0
SIGNUP,367,0,0,0,2,0,0
ORG_INVITE,389,0,0,1,1,0,0
SIGNUP_GOOGLE_AUTH,89,0,0,0,0,0,1
SIGNUP,242,0,0,0,5,0,0
SIGNUP,51,1,1,0,5,0,0
SIGNUP,68,1,1,0,3,0,0
PERSONAL_PROJECTS,16,1,0,0,3,5,0
GUEST_INVITE,401,0,0,1,2,1,0
ORG_INVITE,49,1,1,1,4,0,1
PERSONAL_PROJECTS,185,1,0,0,2,0,1
GUEST_INVITE,91,0,0,1,1,0,1
ORG_INVITE,172,1,0,1,5,0,0
ORG_INVITE,8,0,0,1,1,0,0
ORG_INVITE,43,1,1,1,4,0,0
ORG_INVITE,249,0,0,1,6,0,0
SIGNUP,26,1,0,0,2,0,1
SIGNUP,139,0,0,0,3,0,0
SIGNUP,70,0,0,0,1,0,0
ORG_INVITE,10,0,0,1,2,0,0
SIGNUP,252,0,0,0,1,0,0
SIGNUP_GOOGLE_AUTH,91,0,0,0,6,0,0
ORG_INVITE,53,0,0,1,0,2,0
SIGNUP,69,0,0,0,1,0,0
PERSONAL_PROJECTS,119,0,0,0,6,0,0
ORG_INVITE,130,0,0,1,2,0,0
SIGNUP_GOOGLE_AUTH,3,0,0,0,2,0,0
ORG_INVITE,196,0,0,1,1,0,0
ORG_INVITE,335,0,1,1,2,0,0
ORG_INVITE,375,0,0,1,4,0,0
GUEST_INVITE,303,0,0,1,3,0,0
PERSONAL_PROJECTS,307,0,0,0,4,0,0
GUEST_INVITE,25,1,1,1,6,1,0
PERSONAL_PROJECTS,370,0,1,0,4,0,0
ORG_INVITE,134,1,1,1,4,0,0
PERSONAL_PROJECTS,83,0,0,0,5,0,0
SIGNUP,27,0,0,0,4,0,0
GUEST_INVITE,306,1,0,1,1,1,0
SIGNUP,118,1,0,0,1,0,0
ORG_INVITE,295,0,0,1,4,0,0
SIGNUP,19,0,0,0,5,0,0
ORG_INVITE,301,0,0,1,6,0,0
SIGNUP,100,0,0,0,3,0,0
GUEST_INVITE,112,0,0,1,4,0,0
